id,retweet_count,date_created,tweet
1511013064988143622,734,2022-04-04 16:09:22+00:00,b'PRESIDENT RAMAPHOSA TO ADDRESS THE NATION \n\nPresident Cyril Ramaphosa will address the nation at 20h00 this evening\xe2\x80\xa6 https://t.co/FVkMdsv36j'
1511115547072684047,637,2022-04-04 22:56:36+00:00,"b'To put this into context, D.C. is already the most policed city in the society with the largest amount of human cag\xe2\x80\xa6 https://t.co/DLyo90rUIC'"
1511395632346447876,269,2022-04-05 17:29:33+00:00,"b'Zelensky made a direct pitch to the Global South at the UNSC:\n\n""Russia provoked a global food crisis that could lea\xe2\x80\xa6 https://t.co/ETr3L6RhHK'"
1511660714833985541,6,2022-04-06 11:02:54+00:00,"b""RT @GolfBible: Here is my analysis of the March 2022 Men's Amateur Performance and Event Rankings. I selected @roryfranssen \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf as my P\xe2\x80\xa6"""
1511660700841783298,37,2022-04-06 11:02:51+00:00,"b'RT @maggsnaidu: So @Julius_S_Malema reckons that if a judge, of eleven of the @ConCourtSA, makes a ""minor mistake"", then all or South Afric\xe2\x80\xa6'"
1511660694005067791,1,2022-04-06 11:02:49+00:00,b'RT @Thomane_: In South Africa you must never put too much faith in the police unless you know them personally'
1511660689122902018,90,2022-04-06 11:02:48+00:00,"b""RT @SuperSportTV: There are '\xf0\x9d\x99\x8f\xf0\x9d\x99\xac\xf0\x9d\x99\xa4 \xf0\x9d\x99\x8e\xf0\x9d\x99\x9e\xf0\x9d\x99\x99\xf0\x9d\x99\x9a\xf0\x9d\x99\xa8' to every story. \n\nSuperSport's official documentary film series of the 2021 British &amp; Irish Lions t\xe2\x80\xa6"""
1511660669791256583,0,2022-04-06 11:02:43+00:00,"b'Italy beginning less disability pensioners etc., will grow by 10,000 to 2,860,000, and jobs by 70,000 years-old eng\xe2\x80\xa6 https://t.co/e7v5P92dKW'"
1511660653794271237,269,2022-04-06 11:02:39+00:00,"b'RT @SamRamani2: Zelensky made a direct pitch to the Global South at the UNSC:\n\n""Russia provoked a global food crisis that could lead to fam\xe2\x80\xa6'"
1511660640540274692,9,2022-04-06 11:02:36+00:00,"b'RT @DimakatsoS05: Albany is super fresh &amp; stays fresh for long, it serves as the largest range of baked goods in South Africa from Albany S\xe2\x80\xa6'"
1511660617161134082,3,2022-04-06 11:02:31+00:00,"b'RT @GlobPeaceIndex: By 2050, #climatechange is estimated to create up to 86 million additional #migrants in sub-Saharan Africa, 40 million\xe2\x80\xa6'"
1511660613369540610,19,2022-04-06 11:02:30+00:00,b'RT @iamabayorr: Maseko was working as a delivery driver  when he volunteered for service in the South African Native Military Corps during\xe2\x80\xa6'
1511660601038327811,0,2022-04-06 11:02:27+00:00,"b'@KagutaMuseveni The enemy of #Africa is BLACK HITLER KagutaMuseveni, @PaulKagame&amp; @mkainerugaba.These Rwandees comm\xe2\x80\xa6 https://t.co/hgz86XKAXk'"
1511660591362019335,3,2022-04-06 11:02:24+00:00,b'RT @Official_MissSA: Go ahead give the Miss South Africa App a try! \xf0\x9f\x93\xb2\xf0\x9f\x92\x95\n\nUse this link to download the Miss South Africa App https://t.co/Nw\xe2\x80\xa6'
1511660587129917446,8,2022-04-06 11:02:23+00:00,b'RT @MightiJamie: The EFF and it\xe2\x80\x99s leadership are marching towards the property of the most powerful man in South Africa. \n\nhttps://t.co/0Qd\xe2\x80\xa6'
1511660561188233222,0,2022-04-06 11:02:17+00:00,"b'@EamonGilmore We have never trusted the western agenda in particular, look at what happened in Libya, DRC, South Su\xe2\x80\xa6 https://t.co/qPKvk8MxBH'"
1511660553370013696,5,2022-04-06 11:02:15+00:00,"b'RT @naturaljustice: \xf0\x9f\x93\xa3\xf0\x9f\x93\xa3EVENT: Advancing Rights of Nature and Human Rights in Africa and Beyond \xf0\x9f\x8c\xbf\xf0\x9f\x8c\xbf\n\nWith NJ Director, Pooven Moodley, board m\xe2\x80\xa6'"
1511660547686686721,7,2022-04-06 11:02:14+00:00,b'RT @leeolney3: #30DayChartChallenge 06 data day: Our World In Data\n\nCereal yield in South America (1961 - 2019). Data from https://t.co/yr1\xe2\x80\xa6'
1511660528485244932,100,2022-04-06 11:02:09+00:00,b'RT @phume22: It\xe2\x80\x99s only in South Africa where you can\xe2\x80\x99t own or drive a Hyundai because you have a Merc \xf0\x9f\xa5\xb4'
1511660514967187460,299,2022-04-06 11:02:06+00:00,"b""RT @Climatehope2: Africa doesn't need fossil fuels, it can go straight to renewable energy.\nhttps://t.co/vPe2Agn00X"""
1511013062102421510,1410,2022-04-04 16:09:21+00:00,"b'RT @DrEricDing: Watching\xe2\x80\x94South Africa\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 may have a new subvariant, 66% dominant\xe2\x80\x94the BA2+L452R group is a #BA2 subtype that mixes with an in\xe2\x80\xa6'"
1511013056477810691,2,2022-04-04 16:09:20+00:00,"b'RT @VictorGreatree: Should we start calling South Africa ""Gangaster Paradise"" or we wait until EFF wins the elections?\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 #PutSouthAfricaF\xe2\x80\xa6'"
1511013047929823241,76,2022-04-04 16:09:18+00:00,"b'RT @Thuso1Africa: The price of food and petrol is too high in South Africa, I blame foreign nationals and EFF for this. Lazy thinkers \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'"
1511013045434265607,0,2022-04-04 16:09:17+00:00,b'Google Ads Specialist (Remote): Contractor position available - South Africa https://t.co/AgeNQsOah3'
1511013045321011214,35,2022-04-04 16:09:17+00:00,b'JUST IN: President Cyril Ramaphosa will address the nation at 20h00 this evening on developments in South Africa\xe2\x80\x99s\xe2\x80\xa6 https://t.co/9Ai1mhiWAK'
1511013045132480512,0,2022-04-04 16:09:17+00:00,b'Europe and East/South Asia are overpopulated while Africa and Latin America are underpopulated.'
1511013034357149717,3717,2022-04-04 16:09:15+00:00,b'RT @thisha_omuhle: You\xe2\x80\x99re not careless with money or bad at budgeting. The cost of living in South Africa is genuinely absurd.'
1511013030175387649,0,2022-04-04 16:09:14+00:00,b'@brianjdube @WolfelFigaro @B0TT0MLINE @Nompu90570329 @SAfmnews you said it was because lack of economic cooperation\xe2\x80\xa6 https://t.co/pzZ3yzheBf'
1511013021543448576,5,2022-04-04 16:09:12+00:00,b'RT @preciouscfc8: @CFCParee @chelseayouth Hope this helps anyone wanting to watch the mighty Chelsea Youth in action tonight. \n\n7:00pm UK /\xe2\x80\xa6'
1511013010151809024,10,2022-04-04 16:09:09+00:00,b'RT @FreeGeneraxion: Black People in South Africa are slowly seeing the current ANC for what it really is: Gatekeepers of white supremacy.\xe2\x80\xa6'
